fecha,precio(millones de pesos),area(mt2),zona,estrato,habitaciones,baños,balcon,parqueadero,administracion (millones de pesos),avaluo (millones de pesos),remodelado
13/02/23,79,43.16,norte,3,3,1,si,si,0.05,14.923002,no
2/05/23,93,56.92,norte,2,2,1,si,si,0.069,27,si
17/01/23,100,66.4,norte,3,2,2,no,no,0,15.738427,no
15/08/23,123,61.85,norte,2,3,2,si,si,0.13,27,no
11/08/23,135,89.8,norte,4,3,2,si,no,0,39.567,si
19/09/23,140,71,norte,3,3,2,no,si,0.12,31.145508,si
22/09/23,145,54.83,norte,3,2,2,si,si,0.14,27,si
14/02/23,160,69,norte,3,3,2,si,si,0.127,29.672435,si
25/01/23,160,93,norte,4,4,2,si,no,0,28.95622,si
7/04/23,175,60.88,norte,4,3,2,si,si,0.123,26.635132,si
23/02/23,47,43,occidente,2,2,1,no,no,0,16.486,no
26/12/23,53,37.56,occidente,3,3,1,no,si,0,16.486,si
28/01/23,70,46,occidente,3,2,1,si,si,0.13,40,no
3/01/23,70,42,occidente,3,2,1,si,no,0.08,44.939,si
1/02/23,72,51.7,OCCIDENTE,3,3,1,no,no,0.07,39.112,si
14/08/23,75,44.81,occidente,3,3,1,si,no,0.058,49.241,no
20/09/23,80,45.35, occidente,3,3,1,si,si,0.088,74,si
19/07/23,90,100,occidente,2,3,2,si,no,0,31.032,si
4/02/23,90,50,Occidente,3,3,2,si,si,0.0625,48.022,si
17/09/23,90,40,occidente,3,2,1,no,no,0.077,31.19,si
8/04/23,90,48,occidente,3,2,1,si,si,0.13,58.378,no
1/10/23,90,107,occidente,3,4,2,si,no,0,25.901,si
15/08/23,95,51,occidente,3,2,1,no,no,0,74,si
2/03/23,105,42,occidente,4,2,2,no,si,0.104,57,si
7/11/23,110,53,occidente,3,3,2,si,no,0.0995,66.193,si
13/03/23,115,48,occidente,3,3,1,no,no,0,25.718,si
27/05/23,115,40,occidente,3,2,1,no,si,0.1,41.597,si
7/10/23,120,57,OCCIDENTE,3,2,2,no,no,0,68.302,si
5/12/23,121,57.41,occidente,4,3,2,no,no,0.122,59.255,si
27/10/23,128,56,occidente,3,3,2,no,no,0.13,74,si
30/09/23,130,54,occidente,3,2,1,si,no,0.07,65.964,si
28/06/23,130,78,Occidente,4,3,2,no,si,0.163,57.2,no
9/11/23,140,79,occidente,3,3,2,no,si,0.127,62.2,si
7/01/23,140,62.5,occidente,4,3,2,si,si,0.12,85.561,no
25/02/23,143,56,OCCIDENTE,4,3,2,si,si,0.117,76.585,si
18/07/23,145,84,occidente,3,3,3,si,no,0.084,119.708,si
17/01/23,145,55,occidente,3,2,2,si,si,0.13,74,si
1/03/23,145,80,occidente,3,2,3,no,si,0.085,120.295,si
26/01/23,148,76,occidente,4,3,2,no,si,0.233,64.772,si
24/01/23,150,62,occidente,3,3,2,no,si,0.1,92.657,si
16/05/23,152,58,occidente,4,3,2,si,si,0.13,110,si
13/08/23,155,94.1,occidente,4,3,2,si,si,0.142,91.333,no
